19/05/2012,20:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,20:03:54 3317135 Seconds."
19/05/2012,19:21:05,MR_MONITOR,Information,CTRL ,39,N/A,AVC-SR-001,Controller ID: 0  Patrol Read started.
19/05/2012,19:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,19:03:54 3313544 Seconds."
19/05/2012,18:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,18:03:54 3309953 Seconds."
19/05/2012,17:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,17:03:54 3306362 Seconds."
19/05/2012,16:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,16:03:54 3302771 Seconds."
19/05/2012,15:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,15:03:54 3299181 Seconds."
19/05/2012,14:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,14:03:54 3295590 Seconds."
19/05/2012,13:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,13:03:54 3291999 Seconds."
19/05/2012,12:38:03,SceCli,Information,None,1704,N/A,AVC-SR-001,Security policy in the Group policy objects has been applied successfully.
19/05/2012,12:03:54,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,12:03:54 3288408 Seconds."
19/05/2012,11:56:38,ESENT,Information,ShadowCopy ,2003,N/A,AVC-SR-001,certsrv.exe (1912) Shadow copy 31 freeze stopped.
19/05/2012,11:56:38,ESENT,Information,ShadowCopy ,2003,N/A,AVC-SR-001,lsass (452) Shadow copy 31 freeze stopped.
19/05/2012,11:56:37,ESENT,Information,ShadowCopy ,2001,N/A,AVC-SR-001,certsrv.exe (1912) Shadow copy 31 freeze started.
19/05/2012,11:56:37,ESENT,Information,ShadowCopy ,2001,N/A,AVC-SR-001,lsass (452) Shadow copy 31 freeze started.
19/05/2012,11:56:01,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,11:55:55,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,11:03:55,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,11:03:55 3284817 Seconds."
19/05/2012,10:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,10:03:53 3281226 Seconds."
19/05/2012,09:03:53,MR_MONITOR,Information,CTRL ,44,N/A,AVC-SR-001,"Controller ID: 0  Time established since power on: Time 2012-05-19,09:03:53 3277635 Seconds."
19/05/2012,08:28:31,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,08:28:24,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,08:28:14,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
19/05/2012,08:28:07,Backup Exec,Error,None,57860,N/A,AVC-SR-001,"An error occurred while attempting to log in to the following server: ""AVC-SR-001"".
 SQL error number: ""0011"".
 SQL error message: ""[DBNETLIB][ConnectionOpen (Connect()).]SQL Server does not exist or access denied.
"". 

 For more information, click the following link: 
http://eventlookup.veritas.com/eventlookup/EventLookup.jhtml"
